date,amount,category,description
2024-01-01,12000,식비,점심
2024-01-02,3500,교통비,지하철
2024-01-03,42000,쇼핑,옷 구매
2024-01-04,8000,카페,커피
2024-01-05,18000,문화,영화
2024-01-06,9500,식비,저녁
2024-01-07,1500,교통비,버스
2024-01-08,27000,쇼핑,생활용품
2024-01-09,6000,카페,라떼
2024-01-10,52000,의료,병원
2024-01-11,14000,식비,점심
2024-01-12,4000,교통비,지하철
2024-01-13,33000,쇼핑,옷 구매
2024-01-14,7000,카페,커피
2024-01-15,22000,문화,영화
2024-01-16,11000,식비,저녁
2024-01-17,4500,교통비,버스
2024-01-18,28000,쇼핑,생활용품
2024-01-19,6500,카페,라떼
2024-01-20,48000,의료,병원
2024-01-21,16000,식비,점심
2024-01-22,3800,교통비,지하철
2024-01-23,21000,쇼핑,옷 구매
2024-01-24,5500,카페,커피
2024-01-25,30000,문화,영화
2024-01-26,9000,식비,저녁
2024-01-27,5000,교통비,버스
2024-01-28,36000,쇼핑,생활용품
2024-01-29,7200,카페,라떼
2024-01-30,15000,의료,병원
2024-01-31,13000,식비,점심
2024-02-01,4200,교통비,지하철
2024-02-02,25000,쇼핑,옷 구매
2024-02-03,6800,카페,커피
2024-02-04,20000,문화,영화
2024-02-05,17000,식비,저녁
2024-02-06,4800,교통비,버스
2024-02-07,31000,쇼핑,생활용품
2024-02-08,6000,카페,라떼
2024-02-09,45000,의료,병원
2024-02-10,14000,식비,점심
2024-02-11,3900,교통비,지하철
2024-02-12,27000,쇼핑,옷 구매
2024-02-13,7500,카페,커피
2024-02-14,24000,문화,영화
2024-02-15,15500,식비,저녁
2024-02-16,5200,교통비,버스
2024-02-17,34000,쇼핑,생활용품
2024-02-18,6300,카페,라떼
2024-02-19,12000,의료,병원
2024-02-20,16500,식비,점심
2024-02-21,4100,교통비,지하철
2024-02-22,29000,쇼핑,옷 구매
2024-02-23,7000,카페,커피
2024-02-24,26000,문화,영화
2024-02-25,14500,식비,저녁
2024-02-26,5300,교통비,버스
2024-02-27,38000,쇼핑,생활용품
2024-02-28,6800,카페,라떼
2024-02-29,20000,의료,병원
2024-03-01,17500,식비,점심
2024-03-02,4500,교통비,지하철
2024-03-03,32000,쇼핑,옷 구매
2024-03-04,7200,카페,커피
2024-03-05,21000,문화,영화
2024-03-06,13500,식비,저녁
2024-03-07,3900,교통비,버스
2024-03-08,26000,쇼핑,생활용품
2024-03-09,6500,카페,라떼
2024-03-10,18000,의료,병원
2024-03-11,15000,식비,점심
2024-03-12,4200,교통비,지하철
2024-03-13,28000,쇼핑,옷 구매
2024-03-14,7000,카페,커피
2024-03-15,23000,문화,영화
2024-03-16,16000,식비,저녁
2024-03-17,5000,교통비,버스
2024-03-18,35000,쇼핑,생활용품
2024-03-19,6000,카페,라떼
2024-03-20,22000,의료,병원
2024-03-21,14000,식비,점심
2024-03-22,3800,교통비,지하철
2024-03-23,26000,쇼핑,옷 구매
2024-03-24,6800,카페,커피
2024-03-25,19000,문화,영화
2024-03-26,15500,식비,저녁
2024-03-27,4700,교통비,버스
2024-03-28,30000,쇼핑,생활용품
2024-03-29,7200,카페,라떼
2024-03-30,21000,의료,병원
2024-03-31,18000,식비,점심
2024-04-01,4600,교통비,지하철
2024-04-02,31000,쇼핑,옷 구매
2024-04-03,7500,카페,커피
2024-04-04,25000,문화,영화
2024-04-05,14000,식비,저녁
2024-04-06,5100,교통비,버스
2024-04-07,32000,쇼핑,생활용품
2024-04-08,6900,카페,라떼
2024-04-09,23000,의료,병원
